Interval,Transfer(MB),Bitrate(MB),Retr,Cwnd(KB),RTT
185,1.16,1.16,1,123.17,102.94
186,1.17,1.17,0,135.35,105.81
187,1.45,1.45,0,138.06,105.58
188,1.15,1.15,0,138.06,103.87
189,1.46,1.46,0,143.47,103.58
190,1.44,1.44,0,150.24,103.22
191,1.45,1.45,0,157.01,103.42
192,1.46,1.46,0,171.9,102.98
193,1.24,1.24,4,144.83,105.64
194,1.45,1.45,0,165.13,103.76
195,1.75,1.75,0,175.96,103.48
196,1.22,1.22,2,138.06,105.43
197,1.44,1.44,0,147.53,108.31
198,1.16,1.16,0,150.24,105.08
199,1.46,1.46,0,150.24,105.86
200,1.46,1.46,0,155.65,103.49
201,1.46,1.46,0,162.42,110.04
202,1.46,1.46,0,169.19,106.26
203,1.73,1.73,0,188.14,104.47
204,1.47,1.47,6,155.65,104.44
205,1.46,1.46,0,175.96,103.17
206,1.73,1.73,0,188.14,107.33
207,1.74,1.74,0,190.85,103.63
208,1.47,1.47,2,151.59,104.41
209,1.46,1.46,0,174.6,103.7
210,1.75,1.75,0,186.79,106.59
211,1.77,1.77,0,190.85,102.79
212,1.75,1.75,0,190.85,104.7
213,1.74,1.74,0,190.85,106.74
214,2.01,2.01,0,193.55,102.36
215,1.47,1.47,2,155.65,105.44
216,1.45,1.45,0,178.66,104.12
217,1.75,1.75,2,135.35,103.55
218,1.16,1.16,0,150.24,103.73
219,1.45,1.45,0,157.01,103.38
220,1.45,1.45,0,158.36,105.75
221,1.46,1.46,0,158.36,110.2
222,1.46,1.46,0,165.13,105.42
223,1.74,1.74,0,171.9,107.27
224,1.45,1.45,0,181.37,104.74
225,1.74,1.74,2,144.83,102.9
226,1.46,1.46,0,173.25,104.36
227,1.73,1.73,1,132.64,102.87
228,1.15,1.15,0,148.89,108.01
229,1.45,1.45,0,157.01,105.53
230,1.46,1.46,0,158.36,103.4
231,1.45,1.45,0,158.36,107.58
232,1.45,1.45,0,163.78,106.96
233,1.73,1.73,0,170.54,102.69
234,1.76,1.76,0,180.02,104.44
235,1.16,1.16,3,148.89,103.27
236,1.74,1.74,0,169.19,107.55
237,1.17,1.17,1,132.64,104.16
238,1.16,1.16,0,143.47,102.34
239,1.45,1.45,0,146.18,102.97
240,1.44,1.44,0,146.18,102.68
241,1.47,1.47,0,151.59,105.43
242,1.21,1.21,1,115.05,103.65
243,1.15,1.15,0,138.06,104.58
244,1.48,1.48,0,151.59,102.25
245,1.46,1.46,0,157.01,104.22
246,1.46,1.46,0,157.01,107.2
247,1.46,1.46,0,157.01,103.13
248,1.46,1.46,0,159.71,104.22
249,1.45,1.45,0,167.84,105.57
250,1.75,1.75,0,184.08,104.53
251,1.24,1.24,2,150.24,112.13
252,1.45,1.45,1,143.47,106.17
253,1.24,1.24,0,136.71,104.88
254,1.45,1.45,0,144.83,103.41
255,1.44,1.44,0,146.18,104.04
256,1.15,1.15,0,146.18,102.66
257,1.44,1.44,0,154.3,102.96
258,1.47,1.47,0,159.71,106.22
259,1.45,1.45,0,167.84,105.59
260,1.44,1.44,2,138.06,106.25
261,1.46,1.46,0,158.36,105.29
262,1.44,1.44,0,169.19,103.58
263,1.74,1.74,0,171.9,105.84
264,1.44,1.44,0,171.9,105.85
265,1.16,1.16,2,143.47,104.0
266,1.45,1.45,0,159.71,106.37
267,1.45,1.45,1,124.52,103.73
268,1.16,1.16,0,135.35,104.54
269,1.15,1.15,0,138.06,105.31
270,1.45,1.45,0,138.06,106.13
271,1.17,1.17,0,144.83,103.21
272,1.45,1.45,0,151.59,103.62
273,1.45,1.45,0,158.36,105.36
274,1.43,1.43,0,174.6,102.93
275,1.44,1.44,2,146.18,105.56
276,1.43,1.43,0,165.13,103.56
277,1.47,1.47,0,174.6,102.91
278,1.44,1.44,3,90.69,107.56
279,0.87,0.87,0,102.87,103.14
280,0.86,0.86,0,106.93,104.93
281,1.15,1.15,0,108.28,106.96
282,0.86,0.86,0,115.05,104.49
283,1.16,1.16,0,121.82,103.38
284,1.15,1.15,0,128.58,103.14
285,1.44,1.44,0,138.06,104.99
286,1.16,1.16,3,116.4,102.71
287,1.16,1.16,0,139.41,104.46
288,1.49,1.49,0,151.59,102.82
289,1.2,1.2,0,157.01,111.94
290,1.55,1.55,1,119.11,107.2
291,1.15,1.15,0,140.77,104.06
292,1.21,1.21,2,106.93,107.05
293,1.15,1.15,0,121.82,103.27
294,1.15,1.15,0,127.23,107.1
295,1.16,1.16,0,127.23,103.02
296,1.15,1.15,0,131.29,102.39
297,1.16,1.16,0,138.06,103.91
298,1.45,1.45,0,144.83,104.66
299,1.44,1.44,0,152.95,106.67
300,1.17,1.17,2,128.58,104.4
301,1.16,1.16,0,148.89,102.68
302,1.44,1.44,1,113.7,103.31
303,1.15,1.15,0,128.58,102.69
304,1.44,1.44,0,135.35,102.78
305,1.15,1.15,0,135.35,102.89
306,1.44,1.44,0,138.06,104.89
307,1.16,1.16,0,144.83,103.94
308,1.45,1.45,0,152.95,102.6
309,1.49,1.49,1,109.63,102.74
310,0.87,0.87,16,93.39,107.59
311,0.86,0.86,0,104.22,103.2
312,1.17,1.17,0,108.28,102.78
313,0.86,0.86,0,110.99,103.28
314,1.16,1.16,0,117.76,102.65
315,0.87,0.87,3,94.75,107.45
316,1.17,1.17,0,110.99,105.62
317,1.16,1.16,0,119.11,105.86
318,0.87,0.87,0,120.46,103.64
319,1.16,1.16,0,120.46,102.65
320,1.16,1.16,1,115.05,106.28
321,0.87,0.87,0,105.57,104.72
322,1.17,1.17,0,117.76,106.04
323,1.16,1.16,0,121.82,103.19
324,1.15,1.15,0,121.82,106.26
325,1.16,1.16,0,121.82,105.49
326,0.87,0.87,0,124.52,105.89
327,1.23,1.23,2,93.39,105.12
328,0.86,0.86,0,115.05,106.86
329,1.15,1.15,0,127.23,106.77
330,1.46,1.46,0,131.29,103.04
331,1.17,1.17,0,131.29,106.84
332,1.17,1.17,0,131.29,103.94
333,1.16,1.16,0,134.0,103.07
334,1.16,1.16,2,110.99,104.16
335,1.16,1.16,0,127.23,106.92
336,1.15,1.15,0,135.35,106.7
337,1.16,1.16,1,113.7,102.99
338,0.86,0.86,0,128.58,103.9
339,1.44,1.44,0,135.35,103.99
340,1.16,1.16,0,136.71,107.08
341,1.16,1.16,0,136.71,104.39
342,1.44,1.44,0,138.06,102.99
343,1.15,1.15,0,144.83,106.73
344,1.53,1.53,3,115.05,102.48
345,1.15,1.15,0,135.35,103.43
346,0.95,0.95,1,106.93,104.94
347,0.87,0.87,0,115.05,106.54
348,1.17,1.17,0,116.4,104.79
349,1.15,1.15,0,120.46,104.15
350,1.16,1.16,0,127.23,103.91
351,1.15,1.15,0,134.0,103.21
